lang_id,cod,name
0,fi,suomi
1,de,Deutsch
2,en,English
3,sv,svenska
4,cy,Cymraeg
5,xx,No Language
6,ja,日本語
7,fr,Français
8,es,Español
9,ar,العربية
10,la,Latin
11,he,עִבְרִית
12,it,Italiano
13,tr,Türkçe
14,km,
15,vi,Tiếng Việt
16,el,ελληνικά
17,zh,普通话
18,ru,Pусский
19,ga,Gaeilge
20,cn,广州话 / 廣州話
21,hu,Magyar
22,ne,
23,si,
24,hi,हिन्दी
25,da,Dansk
26,pl,Polski
27,ko,한국어/조선말
28,nl,Nederlands
29,pt,Português
30,gd,
31,fa,فارسی
32,ur,اردو
33,nv,
34,sh,
35,bs,Bosanski
36,sr,Srpski
37,th,ภาษาไทย
38,no,Norsk
39,uk,Український
40,yi,
41,sq,shqip
42,is,Íslenska
43,tl,
44,pa,ਪੰਜਾਬੀ
45,sw,Kiswahili
46,kk,қазақ
47,mi,
48,bg,български език
49,mn,
50,ro,Română
51,cs,Český
52,sk,Slovenčina
53,eo,Esperanto
54,bn,বাংলা
55,so,Somali
56,af,Afrikaans
57,xh,
58,zu,isiZulu
59,tt,
60,ln,
61,et,Eesti
62,ht,
63,ca,Català
64,qu,
65,sa,
66,hr,Hrvatski
67,gl,Galego
68,am,
69,se,
70,co,
71,sc,
72,bo,
73,kw,
74,ka,ქართული
75,my,
76,ps,پښتو
77,ku,
78,id,Bahasa indonesia
79,ms,Bahasa melayu
80,iu,
81,hy,
82,ce,
83,tg,
84,mt,Malti
85,gn,
86,lo,
87,ty,
88,gu,
89,oc,
90,nb,Bokmål
91,ta,தமிழ்
92,as,
93,sl,Slovenščina
94,rw,Kinyarwanda
95,mk,
96,eu,euskera
97,to,
98,az,Azərbaycan
99,ny,
100,st,
101,ml,
102,wo,Wolof
103,te,తెలుగు
104,be,беларуская мова
105,lv,Latviešu
106,mr,
107,jv,
108,dz,
109,bm,Bamanankan
110,cr,
111,ug,
112,lb,
113,ki,
114,ky,??????
115,ay,
116,ff,Fulfulde
117,sm,
118,br,
119,sg,
120,tn,
121,uz,ozbek
122,fo,
123,tk,
124,sn,
125,kn,?????
126,mh,
127,fy,
128,ab,
129,ha,Hausa
130,ig,
131,bi,
